"","V1","V2"
"1443",-1.8201928726127,-0.227621785039587
"2143",-0.154391043043959,-0.100347408825101
"2843",-0.358890517425965,0.18057028565409
"3543",1.26263802111223,-0.062672838349815
"4243",-0.352218311141741,-0.38052709153657
"4943",0.537605116854177,0.182257331480152
"5643",0.551273816483825,0.490278474423619
"6343",0.743280131833038,-0.19783328959664
"7043",0.237886854126846,0.283237402713221
"7743",0.0771215435361425,0.105555771157205
"8443",-0.424368128670837,0.105555771157205
"9165",-0.18165953130275,0.20710478825432
"9843",0.520426009787021,-0.0931247084916845
"10543",-0.638511089535327,-0.492432703000413
