"","V1","V2"
"143",0.583913878808453,0.0791867366744576
"213",-1.2631233953818,-0.390990523998157
"283",0.153021659414154,0.0858298912140598
"353",0.388832167081106,0.0626656274464437
"423",-0.115052299649155,-0.192820853860536
"493",0.0178181933355543,0.231297620207159
"563",-0.0776283306298867,-0.434186711117802
"633",0.684874559929339,0.327843963110066
"703",0.118177949206341,0.255758313252257
"773",-0.0449939506571821,0.0143924559949899
"843",-0.145291885098578,0.0143924559949899
"915",-0.0776283306298867,-0.0338807154564631
"983",-0.145291885098578,0.0143924559949899
"1053",-0.0776283306298867,-0.0338807154564631
