"","V1","V2"
"1442",0.532520562779976,0.591233640054937
"2142",-0.00351161306006822,-0.272534850557903
"2842",-0.304551469007007,-0.176265077154238
"3542",0.379072173885105,-0.151853372674604
"4242",-0.536171878348763,-0.586325278931367
"4942",-0.241177330960929,-0.127441668194969
"5642",-0.238838372292227,-0.0995476462366159
"6342",-0.103955600124215,-0.176265077154238
"7042",-0.254961311821185,-0.147318418713963
"7742",0.397534072082764,0.123964419591766
"8442",0.0690723070380643,0.184287417469112
"9163",0.120897704363387,0.497753437809626
"9842",-0.129288321705226,-0.0315757152073233
"10542",0.313359077170326,0.371888189899782
