"","V1","V2"
"1410",0.0408199372395473,-0.0689152324822324
"2110",-0.425482595271395,0.375274484460704
"2810",0.190228211035032,0.313142393598438
"3510",0.116552874349782,0.134532566847475
"4210",0.476433292170002,-0.213116988879282
"4910",0.262296984894742,-0.357171655923696
"5610",0.192449260865319,0.304569406803243
"6310",-0.313175267499861,-0.457300797344184
"7010",0.0519882902753093,-0.261334426982217
"7710",-0.266198046333966,-0.0724515701813881
"8410",0.106457287347558,-0.163902439796374
"9114",-0.367261503306527,0.740227941293312
"9810",0.0730205045741315,-0.104467503168753
"10510",-0.138129230339676,-0.169086178245049
