"","V1","V2"
"1415",-0.0406171320825561,-0.13476550912333
"2115",-0.0142824144499387,-0.526538771357696
"2815",0.0572566443018532,0.448741910678018
"3515",0.0577603098663714,0.00492374381533089
"4215",0.323437474483929,0.141562083642454
"4915",0.191956506295941,-0.401256291742511
"5615",0.0236494524982727,0.0891249594330643
"6315",-0.313566770871076,-0.0220290732764268
"7015",-0.146869163976458,-0.016155033379924
"7715",0.15402463934773,0.0839214655354104
"8415",0.122841605601137,0.241638582557789
"9119",-0.33294005992215,-0.036043627018835
"9815",0.0472689418893097,-0.054185384265838
"10515",-0.129920032982371,0.181060944502493
