"","V1","V2"
"1445",-0.409041814178751,0.0227959035713259
"2145",-1.35488907623309,0.230768363718115
"2845",0.43621713964848,-0.0419033188667709
"3545",0.175088736651897,0.610983181174506
"4245",0.18530423619624,0.123750732578014
"4945",0.510319864148998,-0.653928375527712
"5645",0.207002396533178,0.295467586156211
"6345",-0.28052104539596,0.0108770140424453
"7045",-0.201981176485116,-0.266772425846554
"7745",0.394698680391088,-0.123232700463642
"8445",-0.285628795168131,-0.446042254066652
"9169",0.705778030662812,-0.0129341992658598
"9845",0.0839396565018835,0.12650609890429
"10545",-0.166286833273529,0.123664393892285
