"","V1","V2"
"1435",-0.381313622573772,0.337574101947889
"2135",-0.127666899884534,1.12272074142326
"2835",0.289695695990432,0.252479488753747
"3535",-0.370736117709225,-0.823071033082713
"4235",-0.091027808979832,-0.514928642541242
"4935",-0.32959468476953,-0.189964598378229
"5635",-0.264230175820264,0.620981945072351
"6335",0.0899858709684294,0.307417809595437
"7035",0.00896279836019964,-0.0409499518272174
"7735",0.234155492662933,-0.901656535327859
"8435",0.32640120920414,0.552174576139895
"9149",0.27188559477748,-0.316444901156213
"9835",0.185847885683839,-0.226146535553567
"10535",0.157634762089694,-0.18018646506554
