"","V1","V2"
"1424",-0.938785425347677,0.205283060899841
"2124",-0.649885265587849,-0.0122519791976807
"2824",0.110245527110449,0.206596048470326
"3524",0.280383813091906,0.173633426083861
"4224",0.361786702551215,-0.141970522533325
"4924",-0.600101532059316,0.236031964642202
"5624",-0.288424520963426,-0.0173767964880743
"6324",-0.148976379895591,-0.214209216352587
"7024",0.246823753984142,-0.23761958416045
"7724",0.0690047364374123,-0.0733403073625369
"8424",-0.0845276322413809,-0.170505707631582
"9128",0.442608805495803,0.0410037841019261
"9824",1.33372767754912,0.123492112501977
"10524",-0.133880260124802,-0.118766282973894
