"","V1","V2"
"1434",-0.252183893423736,0.306712713414867
"2134",-0.0608375167559884,0.35467444495332
"2834",0.566397559345895,0.427180377594856
"3534",0.0353793773094552,0.0998501464270389
"4234",-0.161135451197384,0.254597946037985
"4934",0.240056286568199,-0.946320040946031
"5634",-0.100819372361433,0.166626907805508
"6334",-0.186582920650891,-0.418366980095559
"7034",-0.0351019574907873,-0.192239918510791
"7734",0.789052479027429,0.272922776930956
"8434",-0.300211387683285,-0.124847052506715
"9147",-0.169980411502933,0.0493522486649174
"9834",-0.120981947878047,-0.242758183367974
"10534",-0.243050843306493,-0.00738538640237829
