"","V1","V2"
"1427",-0.35313101218801,0.0401176766938414
"2127",-0.285580473370861,-0.246104048064555
"2827",-0.0771953106360108,-0.0355467891694962
"3527",-0.0241875280061317,0.163806898856685
"4227",0.273614696232555,0.115782142557179
"4927",-0.191465697100469,0.0581524349977726
"5627",0.471118986029844,-0.132395611572996
"6327",-0.0797165855573048,-0.0751417384249715
"7027",-0.0911677626590729,-0.242077061748232
"7727",-0.219800530040263,-0.0697516906870856
"8427",0.273614696232555,0.0157056436418442
"9133",0.568040189303635,0.215670724266823
"9827",-0.509993835697428,-0.00467940309382878
"10527",0.245850167456968,0.196460821747021
