"","V1","V2"
"14",-0.0389460722354782,-0.104067898603197
"21",0.0169672732474241,0.171372315249932
"28",-0.268745876992479,0.24069485533435
"35",-0.105590375302016,0.214134108535064
"42",0.221035253013298,0.0203718349237245
"49",0.0567223810284746,-0.136245755637368
"56",-0.0716221189927688,-0.208763657831451
"63",-0.286241270665485,-0.0949078605554904
"70",0.190673946844728,-0.118273245245112
"77",0.154705574881149,0.0978565631338833
"84",-0.0564414659084841,0.160788378998971
"91",0.119579948277542,-0.463035999182658
"98",0.038069617061108,0.045508683519756
"105",0.0298331857429874,0.174567677359597
