"","V1","V2"
"142",-0.271845719198297,0.246916724419688
"212",0.0745848364624774,-0.354804877890141
"282",0.211815968552792,0.193922554318431
"352",0.134534760311911,0.110731973331152
"422",-0.0744163132263273,-0.0723345051704993
"492",-0.127376957597531,-0.00914506386739644
"562",-0.0112999264660714,0.212071081064308
"632",0.412660187467805,0.461631023943735
"702",-0.229475429772532,0.026479384927015
"772",-0.0270790231561354,-0.109221562782731
"842",-0.297097595688804,-0.344609606688295
"913",0.112883959288614,-0.0516607607889802
"982",0.0732189112852601,-0.209298061698065
"1052",0.0188923417368388,-0.100678303118222
