"","V1","V2"
"1431",-0.311830345837676,-0.101218002353019
"2131",-1.18812140322334,0.00378857005140909
"2831",-0.297026231359129,-0.0107973072078904
"3531",0.471879089280338,-0.0954987413020701
"4231",0.1825715240645,0.0191636348725643
"4931",-0.82092569364971,-0.270026631097481
"5631",0.233824503002552,-0.0259774239110871
"6331",0.377115337242991,0.117466810546229
"7031",-0.559562100921522,-0.156348390602661
"7731",1.08023662493327,0.29554134682498
"8431",0.247319810413191,0.0786956227975567
"9141",0.209861093018197,0.148216940188539
"9831",0.426678166046588,0.0514921396385863
"10531",-0.0520203730102428,-0.0544985684456561
